tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2017-01-03,Jakarta Pusat,Pagi,Hujan Ringan,65 - 95,22 - 31
2017-01-03,Jakarta Utara,Pagi,Berawan,65 - 95,22 - 31
2017-01-03,Jakarta Selatan,Pagi,Berawan,65 - 95,22 - 31
2017-01-03,Jakarta Barat,Pagi,Hujan Ringan,65 - 95,22 - 31
2017-01-03,Jakarta Timur,Pagi,Hujan Ringan,65 - 95,22 - 31
2017-01-03,Kepulauan Seribu,Pagi,Hujan Ringan,65 - 95,22 - 31
2017-01-03,Jakarta Pusat,Siang,Hujan Petir,65 - 95,22 - 31
2017-01-03,Jakarta Utara,Siang,Hujan Petir,65 - 95,22 - 31
2017-01-03,Jakarta Selatan,Siang,Hujan Petir,65 - 95,22 - 31
2017-01-03,Jakarta Barat,Siang,Hujan Petir,65 - 95,22 - 31
2017-01-03,Jakarta Timur,Siang,Hujan Petir,65 - 95,22 - 31
2017-01-03,Kepulauan Seribu,Siang,Hujan Petir,65 - 95,22 - 31
2017-01-03,Jakarta Pusat,Malam,Hujan Ringan,65 - 95,22 - 31
2017-01-03,Jakarta Utara,Malam,Hujan Ringan,65 - 95,22 - 31
2017-01-03,Jakarta Selatan,Malam,Hujan Ringan,65 - 95,22 - 31
2017-01-03,Jakarta Barat,Malam,Hujan Ringan,65 - 95,22 - 31
2017-01-03,Jakarta Timur,Malam,Hujan Ringan,65 - 95,22 - 31
2017-01-03,Kepulauan Seribu,Malam,Hujan Ringan,65 - 95,22 - 31
2017-01-04,Jakarta Pusat,Pagi,Berawan,60 - 95,21 - 34
2017-01-04,Jakarta Utara,Pagi,Berawan,60 - 95,21 - 34
2017-01-04,Jakarta Selatan,Pagi,Berawan,60 - 95,21 - 34
2017-01-04,Jakarta Barat,Pagi,Berawan,60 - 95,21 - 34
2017-01-04,Jakarta Timur,Pagi,Berawan,60 - 95,21 - 34
2017-01-04,Kepulauan Seribu,Pagi,Hujan Ringan,60 - 95,21 - 34
2017-01-04,Jakarta Pusat,Siang,Hujan Ringan,60 - 95,21 - 34
2017-01-04,Jakarta Utara,Siang,Hujan Ringan,60 - 95,21 - 34
2017-01-04,Jakarta Selatan,Siang,Hujan Sedang,60 - 95,21 - 34
2017-01-04,Jakarta Barat,Siang,Hujan Sedang,60 - 95,21 - 34
2017-01-04,Jakarta Timur,Siang,Hujan Sedang,60 - 95,21 - 34
2017-01-04,Kepulauan Seribu,Siang,Hujan Ringan,60 - 95,21 - 34
2017-01-04,Jakarta Pusat,Malam,Hujan Ringan,60 - 95,21 - 34
2017-01-04,Jakarta Utara,Malam,Hujan Ringan,60 - 95,21 - 34
2017-01-04,Jakarta Selatan,Malam,Hujan Ringan,60 - 95,21 - 34
2017-01-04,Jakarta Barat,Malam,Hujan Sedang,60 - 95,21 - 34
2017-01-04,Jakarta Timur,Malam,Hujan Ringan,60 - 95,21 - 34
2017-01-04,Kepulauan Seribu,Malam,Hujan Ringan,60 - 95,21 - 34
2017-01-05,Jakarta Pusat,Pagi,Berawan Tebal,60 - 95 ,22 - 31
2017-01-05,Jakarta Utara,Pagi,Hujan Ringan,60 - 95 ,22 - 31
2017-01-05,Jakarta Selatan,Pagi,Berawan Tebal,60 - 95 ,22 - 31
2017-01-05,Jakarta Barat,Pagi,Berawan Tebal,60 - 95 ,22 - 31
2017-01-05,Jakarta Timur,Pagi,Berawan Tebal,60 - 95 ,22 - 31
2017-01-05,Kepulauan Seribu,Pagi,Hujan Ringan,60 - 95 ,22 - 31
2017-01-05,Jakarta Pusat,Siang,Berawan,60 - 95 ,22 - 31
2017-01-05,Jakarta Utara,Siang,Berawan,60 - 95 ,22 - 31
2017-01-05,Jakarta Selatan,Siang,Hujan Ringan,60 - 95 ,22 - 31
2017-01-05,Jakarta Barat,Siang,Berawan,60 - 95 ,22 - 31
2017-01-05,Jakarta Timur,Siang,Hujan Ringan,60 - 95 ,22 - 31
2017-01-05,Kepulauan Seribu,Siang,Berawan,60 - 95 ,22 - 31
2017-01-05,Jakarta Pusat,Malam,Berawan,60 - 95 ,22 - 31
2017-01-05,Jakarta Utara,Malam,Berawan,60 - 95 ,22 - 31
2017-01-05,Jakarta Selatan,Malam,Berawan,60 - 95 ,22 - 31
2017-01-05,Jakarta Barat,Malam,Berawan,60 - 95 ,22 - 31
2017-01-05,Jakarta Timur,Malam,Berawan,60 - 95 ,22 - 31
2017-01-05,Kepulauan Seribu,Malam,Berawan,60 - 95 ,22 - 31
2017-01-08,Jakarta Pusat,Pagi,Berawan,70 - 95,21 - 33
2017-01-08,Jakarta Utara,Pagi,Berawan,70 - 95,21 - 33
2017-01-08,Jakarta Selatan,Pagi,Berawan,70 - 95,21 - 33
2017-01-08,Jakarta Barat,Pagi,Berawan,70 - 95,21 - 33
2017-01-08,Jakarta Timur,Pagi,Berawan,70 - 95,21 - 33
2017-01-08,Kepulauan Seribu,Pagi,Hujan Ringan,70 - 95,21 - 33
2017-01-08,Jakarta Pusat,Siang,Hujan Ringan,70 - 95,21 - 33
2017-01-08,Jakarta Utara,Siang,Hujan Ringan,70 - 95,21 - 33
2017-01-08,Jakarta Selatan,Siang,Hujan Sedang,70 - 95,21 - 33
2017-01-08,Jakarta Barat,Siang,Hujan Sedang,70 - 95,21 - 33
2017-01-08,Jakarta Timur,Siang,Hujan Sedang,70 - 95,21 - 33
2017-01-08,Kepulauan Seribu,Siang,Hujan Ringan,70 - 95,21 - 33
2017-01-08,Jakarta Pusat,Malam,Hujan Ringan,70 - 95,21 - 33
2017-01-08,Jakarta Utara,Malam,Hujan Ringan,70 - 95,21 - 33
2017-01-08,Jakarta Selatan,Malam,Hujan Ringan,70 - 95,21 - 33
2017-01-08,Jakarta Barat,Malam,Hujan Sedang,70 - 95,21 - 33
2017-01-08,Jakarta Timur,Malam,Hujan Ringan,70 - 95,21 - 33
2017-01-08,Kepulauan Seribu,Malam,Hujan Ringan,70 - 95,21 - 33
2017-01-10,Jakarta Pusat,Pagi,Berawan,75 - 100 ,22 - 32
2017-01-10,Jakarta Utara,Pagi,Berawan,75 - 100 ,22 - 32
2017-01-10,Jakarta Selatan,Pagi,Berawan,75 - 100 ,22 - 32
2017-01-10,Jakarta Barat,Pagi,Berawan,75 - 100 ,22 - 32
2017-01-10,Jakarta Timur,Pagi,Berawan,75 - 100 ,22 - 32
2017-01-10,Kepulauan Seribu,Pagi,Hujan Ringan,75 - 100 ,22 - 32
2017-01-10,Jakarta Pusat,Siang,Hujan Ringan,75 - 100 ,22 - 32
2017-01-10,Jakarta Utara,Siang,Hujan Ringan,75 - 100 ,22 - 32
2017-01-10,Jakarta Selatan,Siang,Hujan Sedang,75 - 100 ,22 - 32
2017-01-10,Jakarta Barat,Siang,Hujan Sedang,75 - 100 ,22 - 32
2017-01-10,Jakarta Timur,Siang,Hujan Sedang,75 - 100 ,22 - 32
2017-01-10,Kepulauan Seribu,Siang,Hujan Ringan,75 - 100 ,22 - 32
2017-01-10,Jakarta Pusat,Malam,Hujan Ringan,75 - 100 ,22 - 32
2017-01-10,Jakarta Utara,Malam,Hujan Ringan,75 - 100 ,22 - 32
2017-01-10,Jakarta Selatan,Malam,Hujan Ringan,75 - 100 ,22 - 32
2017-01-10,Jakarta Barat,Malam,Hujan Sedang,75 - 100 ,22 - 32
2017-01-10,Jakarta Timur,Malam,Hujan Ringan,75 - 100 ,22 - 32
2017-01-10,Kepulauan Seribu,Malam,Hujan Ringan,75 - 100 ,22 - 32
2017-01-11,Jakarta Pusat,Pagi,Berawan,65 - 97,22 - 32
2017-01-11,Jakarta Utara,Pagi,Berawan,65 - 97,22 - 32
2017-01-11,Jakarta Selatan,Pagi,Berawan,65 - 97,22 - 32
2017-01-11,Jakarta Barat,Pagi,Berawan,65 - 97,22 - 32
2017-01-11,Jakarta Timur,Pagi,Berawan,65 - 97,22 - 32
2017-01-11,Kepulauan Seribu,Pagi,Hujan Ringan,65 - 97,22 - 32
2017-01-11,Jakarta Pusat,Siang,Hujan Ringan,65 - 97,22 - 32
2017-01-11,Jakarta Utara,Siang,Hujan Ringan,65 - 97,22 - 32
2017-01-11,Jakarta Selatan,Siang,Hujan Sedang,65 - 97,22 - 32
2017-01-11,Jakarta Barat,Siang,Hujan Sedang,65 - 97,22 - 32
2017-01-11,Jakarta Timur,Siang,Hujan Sedang,65 - 97,22 - 32
2017-01-11,Kepulauan Seribu,Siang,Hujan Ringan,65 - 97,22 - 32
2017-01-11,Jakarta Pusat,Malam,Hujan Ringan,65 - 97,22 - 32
2017-01-11,Jakarta Utara,Malam,Hujan Ringan,65 - 97,22 - 32
2017-01-11,Jakarta Selatan,Malam,Hujan Ringan,65 - 97,22 - 32
2017-01-11,Jakarta Barat,Malam,Hujan Sedang,65 - 97,22 - 32
2017-01-11,Jakarta Timur,Malam,Hujan Ringan,65 - 97,22 - 32
2017-01-11,Kepulauan Seribu,Malam,Hujan Ringan,65 - 97,22 - 32
2017-01-12,Jakarta Pusat,Pagi,Berawan Tebal,65 - 95 ,23 - 33
2017-01-12,Jakarta Utara,Pagi,Berawan Tebal,65 - 95 ,23 - 33
2017-01-12,Jakarta Selatan,Pagi,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Barat,Pagi,Berawan Tebal,65 - 95 ,23 - 33
2017-01-12,Jakarta Timur,Pagi,Berawan Tebal,65 - 95 ,23 - 33
2017-01-12,Kepulauan Seribu,Pagi,Berawan Tebal,65 - 95 ,23 - 33
2017-01-12,Jakarta Pusat,Siang,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Utara,Siang,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Selatan,Siang,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Barat,Siang,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Timur,Siang,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Kepulauan Seribu,Siang,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Pusat,Malam,Hujan Petir,65 - 95 ,23 - 33
2017-01-12,Jakarta Utara,Malam,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Selatan,Malam,Hujan Petir,65 - 95 ,23 - 33
2017-01-12,Jakarta Barat,Malam,Hujan Petir,65 - 95 ,23 - 33
2017-01-12,Jakarta Timur,Malam,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Kepulauan Seribu,Malam,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Pusat,Dini Hari,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Utara,Dini Hari,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Selatan,Dini Hari,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Jakarta Barat,Dini Hari,Hujan Petir,65 - 95 ,23 - 33
2017-01-12,Jakarta Timur,Dini Hari,Hujan Lokal,65 - 95 ,23 - 33
2017-01-12,Kepulauan Seribu,Dini Hari,Hujan Lokal,65 - 95 ,23 - 33
2017-01-13,Jakarta Pusat,Pagi,Berawan,60 - 95 ,24 - 32
2017-01-13,Jakarta Utara,Pagi,Berawan,60 - 95 ,24 - 32
